,state,Gas,Gas_SC,Gas_CC,Coal,Oil,Wind,Solar,Hydro,Geothermal,CSP,Nuclear,Biomass
0,FL,6.07682,6.07682,6.07682,2.996896017,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,MI,5.9109,5.9109,5.9109,2.019658562,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CO,9.06338,9.06338,9.06338,1.847387481,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,VT,6.424215,6.424215,6.424215,6.086394206,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,MD,10.76406,10.76406,10.76406,2.996896017,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,TX,7.79824,7.79824,7.79824,1.705638903,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,WY,9.48855,9.48855,9.48855,1.847387481,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,IN,7.9563825,7.9563825,7.9563825,2.019658562,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,MN,6.07682,6.07682,6.07682,1.36937403,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NM,6.385845999999999,6.385845999999999,6.385845999999999,1.847387481,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NH,7.52,7.52,7.52,6.086394206,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,9.83076,9.83076,9.83076,2.996896017,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,SC,7.09308,7.09308,7.09308,2.996896017,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,AZ,6.83383,6.83383,6.83383,1.847387481,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,VA,6.31533,6.31533,6.31533,2.996896017,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,MS,7.44566,7.44566,7.44566,2.16537334,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,MO,6.811608571428571,6.811608571428571,6.811608571428571,1.36937403,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,RI,6.5979125,6.5979125,6.5979125,6.086394206,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,LA,7.52,7.52,7.52,1.705638903,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,TN,8.90783,8.90783,8.90783,2.16537334,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,NE,12.73436,12.73436,12.73436,1.36937403,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KS,7.10345,7.10345,7.10345,1.36937403,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,AK,8.59673,8.59673,8.59673,2.506466632,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,HI,6.293941875,6.293941875,6.293941875,2.506466632,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,OK,6.953987745535715,6.953987745535715,6.953987745535715,1.705638903,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,NC,4.40725,4.40725,4.40725,2.996896017,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,GA,8.46192,8.46192,8.46192,2.996896017,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,NV,8.51377,8.51377,8.51377,1.847387481,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,UT,10.12718,10.12718,10.12718,1.847387481,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ID,7.47677,7.47677,7.47677,1.847387481,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,KY,6.91679,6.91679,6.91679,2.16537334,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,DE,7.85009,7.85009,7.85009,2.996896017,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,AL,6.874756933333333,6.874756933333333,6.874756933333333,2.16537334,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,IL,14.86021,14.86021,14.86021,2.019658562,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,SD,6.60569,6.60569,6.60569,1.36937403,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,MT,7.051750457589285,7.051750457589285,7.051750457589285,1.847387481,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,IA,9.9681625,9.9681625,9.9681625,1.36937403,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,MA,6.5331,6.5331,6.5331,6.086394206,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,PA,11.111455,11.111455,11.111455,2.002586653,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,7.62195,7.62195,7.62195,2.019658562,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,NJ,7.6738,7.6738,7.6738,2.002586653,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,WA,6.07682,6.07682,6.07682,2.506466632,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,CT,6.77161,6.77161,6.77161,6.086394206,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,ND,8.86635,8.86635,8.86635,1.36937403,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,AR,10.25096375,10.25096375,10.25096375,1.705638903,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,OR,7.60121,7.60121,7.60121,2.506466632,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,CA,9.89946125,9.89946125,9.89946125,2.506466632,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,ME,6.86494,6.86494,6.86494,6.086394206,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,WV,6.19089,6.19089,6.19089,2.996896017,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,NY,8.8145,8.8145,8.8145,2.002586653,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,WI,7.52,7.52,7.52,2.019658562,21.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
