ORISPL_CODE,GLOAD (MW),CO2_MASS (tons),HEAT_INPUT (mmBtu)
3,11673453.0,6846726.2,91895874.8
7,0.0,52695.925,886757.55
9,36071.0,0.0,672535.49
10,1153839.0,696954.552,11641749.924999999
26,4159470.0,3832358.702,44005747.7
47,3731.0,3304.1,53425.0
51,793116.0,830981.316,7632777.63
54,333852.0,229094.517,3852807.891
56,394730.0,414894.287,4043808.636
59,409993.0,507889.874,4842587.007
60,1163179.0,1225316.813,11683032.735
87,637931.0,668993.557,6378643.973
108,1590954.0,1599375.823,15249576.28
113,3529723.0,4176620.563,40707844.837
116,778366.0,415931.12,6998883.022
117,2726067.0,1211403.972,20384204.648000002
118,87338.0,68982.795,1160786.078
120,425651.0,290612.052,4890130.695
124,1949.0,1299.097,21859.563
126,1016524.0,629887.725,10599106.418
127,1209201.0,1354458.972,12914358.629999999
130,6832826.0,7289416.468,71046981.476
136,7093448.0,7009117.937,68315035.552
141,346970.0,210779.456,3546740.864
147,1697711.0,681150.912,11461683.53
160,2354923.0,1683841.084,24173837.737
165,2615424.0,1099988.09,17736827.73
170,499406.0,311859.148,5247637.251
201,434792.0,223336.403,3751482.31
202,0.0,3185.11,44763.78
203,0.0,23141.59,388052.698
260,5487443.0,2185318.142,38567163.41
298,6332172.0,6702640.393999999,63944990.991
302,453763.0,265896.726,4474181.036
315,1785596.0,901172.842,15163913.192
330,440008.0,210389.77300000002,3540209.776
335,1322790.0,562099.998,9458494.236
341,37891.0,34052.905,573005.9990000001
350,757790.0,429541.632,7227871.532
356,320561.0,264167.6,4445420.7
358,2973461.0,1270879.594,21384891.706
377,116596.0,99537.634,1676318.122
384,1091451.0,670585.4299999999,11312187.924999999
389,660521.0,318738.575,5363384.605
399,78120.0,44720.597,765275.759
400,3802589.0,1636605.754,28051436.0
404,1773127.0,794092.53,13597388.757
408,893450.0,373259.724,6397637.384
422,59400.0,32911.778,553801.559
469,4021840.0,1862330.822,31338454.353
470,4648786.0,4883250.386,47269634.09
478,0.0,0.0,0.0
492,449750.0,504985.45399999997,5251736.758
525,2286358.0,2474266.67,24115724.321
533,2879239.0,1776162.766,29887417.483
540,136.0,0.0,2575.0
542,477.0,0.0,4361.0
544,15755.0,9750.459,133434.107
546,23676.0,20825.821,294037.173
557,519.0,0.0,7578.7
561,168.0,0.0,2257.5
562,325261.0,211537.738,3439297.0379999997
563,1656.0,1812.2,22375.8
564,5925807.0,4917903.897,54802139.683
565,465.0,0.0,8015.0
568,3720970.0,1423097.917,23911423.42
581,215.0,0.0,2978.0
589,259684.0,384304.775,3675110.2
591,69.0,135.60000000000002,1675.0
592,27.0,0.0,459.0
593,192386.0,123945.743,2080091.785
594,158029.0,163735.061,1606279.7349999999
597,49.0,0.0,1243.0
599,5135.0,3798.2290000000003,63914.228
602,1148597.0,1250397.931,12187110.157
607,32387.0,19632.391,321521.274
609,6512104.0,2477298.379,41643131.499
612,9991866.0,4041413.56,67975741.038
613,411469.0,230719.654,3872543.989
617,6500494.0,2425341.361,40796329.79
619,6701391.0,2474489.893,41590560.008
620,9918293.0,4039583.5069999998,67973650.826
621,6595294.0,2600014.116,43740623.14
628,15609828.0,8557198.43,116870276.679
634,7013834.0,3045188.213,51241127.322
641,1308078.0,1263481.962,14486362.104
643,5059620.0,2093567.51,35228323.383
645,3335206.0,2852606.378,40258076.805
663,750718.0,622402.804,8258550.147
664,833568.0,410986.712,6915963.718
666,134223.0,77451.624,1300445.788
667,5080842.0,4623721.522,55671482.453
673,142.0,57.174,966.052
675,103643.0,86352.363,1452965.512
676,2031202.0,1583518.393,21820771.667
683,23594.0,19692.638,330808.61199999996
688,1412279.0,657115.279,11056639.06
689,663452.0,395280.832,6650960.348
703,8768072.0,8677220.883,84573288.441
710,18976953.0,7584444.817,127623709.352
715,5290.0,0.0,70698.8
728,2428382.0,1486953.61,25020975.687
762,13725.0,7329.908,123333.71900000001
856,3338667.0,3432477.373,32727715.523000002
862,1171248.0,676329.532,11380872.664
874,21477.0,15255.849999999999,257356.52500000002
876,1624422.0,1697765.107,16187689.842
879,1043563.0,1286625.38,12096674.75
883,747412.0,832780.45,7877858.9
884,372616.0,431771.475,4087933.475
886,0.0,777.9,9605.5
887,4492161.0,4446866.1,44699839.569
889,4473276.0,4466151.61,42583477.514
913,66407.0,38989.655,656068.896
963,916183.0,946787.427,9252006.177
976,1000046.0,1356548.317,12859348.206
983,4881738.0,5021194.772,48939578.429
990,1737404.0,1065762.0829999999,17931821.542
991,5210498.0,1975885.608,33248107.498999998
992,0.0,55917.181,3381875.077
994,6925548.0,7196134.229,70137795.295
995,0.0,0.0,0.0
997,1658109.0,1705426.8499999999,16260738.308
1001,4762761.0,4526193.386,44187386.433
1004,2897761.0,2994571.452,23563498.544
1007,1199041.0,748959.963,12602113.486
1008,66725.0,68064.195,663392.384
1012,1020047.0,1258642.0219999999,12318607.888
1016,2772.0,0.0,45482.2
1040,40843.0,47316.611,461185.104
1047,405557.0,453574.457,4329877.575
1068,53449.0,0.0,602887.095
1073,0.0,283891.838,2860638.212
1081,0.0,0.0,0.0
1082,5450692.0,5478142.3,52232489.325
1091,942043.0,1019408.05,9719747.225
1104,1224617.0,1305468.737,12458284.273
1122,263519.0,210709.305,3554398.289
1131,3070.0,3659.517,60445.820999999996
1167,811937.0,1003529.7849999999,9568391.947
1206,10275.0,0.0,170455.24099999998
1217,26047.0,20167.172,338633.07399999996
1230,480.0,390.832,6582.435
1233,3164.0,2039.589,34321.450000000004
1235,1520.0,1047.064,17623.414
1239,1521111.0,644324.479,10841966.64
1240,134118.0,87637.59,1473745.773
1241,6650553.0,6912975.648,65925746.963
1248,5715.0,0.0,201327.3
1250,2137047.0,2181852.158,21159756.632
1268,243288.0,193589.122,3269468.305
1271,290.0,168.146,2835.279
1295,3752.0,0.0,91023.5
1305,13865.0,0.0,228043.7
1336,11882.0,1949.35,166228.21899999998
1353,948161.0,539187.029,9072868.604
1355,1458548.0,1516834.619,15795745.82
1356,10911256.0,10547018.842,102797458.607
1363,4676622.0,1878987.956,31617572.044
1364,7340568.0,6995650.739,68286753.78299999
1366,37974.0,22061.642,373420.15900000004
1374,501812.0,504216.512,4914382.851
1378,7584661.0,3316502.109,52114080.138
1379,4089194.0,4705547.174,44866116.756
1381,0.0,0.0,0.0
1382,0.0,0.0,0.0
1383,3116.0,0.0,50084.7
1384,176455.0,176678.565,1722022.663
1391,3224167.0,2271277.068,38218653.182
1393,1017215.0,1182981.035,11279371.814
1396,3841940.0,1632662.042,27472642.949
1400,503159.0,304082.141,5116865.048
1402,1713462.0,1087990.954,18307564.101999998
1403,9734496.0,4846137.255,81544367.131
1404,1120.0,750.5219999999999,12628.037
1416,2267507.0,1435790.6979999999,24159929.982
1417,25051.0,18866.88,317446.994
1439,28765.0,20176.954,339518.653
1464,58208.0,41180.423,692928.76
1507,18599.0,16456.563000000002,193733.896
1554,106152.0,123320.10399999999,1341439.419
1556,219390.0,140663.258,2265402.1180000002
1560,3882.0,3190.805,53688.115
1564,1521.0,1953.048,24066.249999999996
1571,484178.0,439272.376,5546031.768
1572,282632.0,267877.677,2854660.235
1573,1259835.0,1284643.79,12531503.731
1586,930.0,0.0,16865.300000000003
1588,1933965.0,844116.246,14197747.535
1592,1899.0,2724.5,33620.5
1594,0.0,0.0,127422.871
1595,2027427.0,789389.602,13292160.9
1599,320540.0,192024.63100000002,3172012.4839999997
1631,74.0,0.0,1119.9
1642,2848.0,1540.799,28185.505
1643,115.0,0.0,1568.9
1660,24522.0,12410.217,202330.249
1678,4050.0,2143.5,43352.3
1682,52643.0,33339.974,560039.6190000001
1702,1828950.0,2109575.665,20504908.273000002
1710,7290821.0,7425853.869,70803324.577
1728,38278.0,24966.0,420078.95
1730,5525.0,3958.8,67111.9
1733,14295504.0,14276708.615,136084002.376
1740,261675.0,242207.638,3127562.989
1743,1885094.0,2087492.367,19903603.932
1745,0.0,349326.939,3330730.781
1825,38619.0,36621.024999999994,356919.835
1831,7499.0,9364.775,89293.03099999999
1832,616427.0,782601.455,7461886.34
1866,0.0,37626.345,634649.406
1891,16321.0,13757.690999999999,231467.104
1893,4629537.0,5023355.5940000005,47968429.253
1897,0.0,200688.57200000001,1930080.728
1904,1610073.0,789309.6950000001,13281633.484
1912,2758478.0,1206982.576,20309789.155
1913,15844.0,0.0,191620.9
1915,894925.0,931679.661,8883284.94
1927,2228764.0,931222.803,15669622.189
1943,213468.0,262407.725,2501980.075
2001,806.0,0.0,5323.5
2038,23009.0,14531.883,253991.032
2039,14214.0,10135.659,169779.476
2047,600125.0,402605.776,6774642.308
2048,7186.0,0.0,162391.4
2049,2392307.0,1416769.574,23890945.719
2050,1577580.0,923362.417,15533548.14
2070,1882630.0,942495.1240000001,15859938.67
2076,0.0,0.0,0.0
2079,2381292.0,2263843.506,22713664.04
2081,8219.0,0.0,187783.2
2082,560.0,0.0,11440.4
2092,11066.0,0.0,226676.01799999998
2098,8760.0,3032.157,239378.293
2103,17359426.0,17182089.668,163826168.915
2104,135052.0,146223.355,1549132.857
2107,3014662.0,3165411.165,30181257.813
2122,869.0,0.0,14029.099999999999
2123,0.0,18156.461,305484.413
2131,5565.0,0.0,79798.4
2132,2019.0,1365.626,22981.032
2161,127363.0,99450.829,1660484.109
2167,6524903.0,6197073.609999999,59087591.284
2168,7266410.0,7377929.471,70350121.873
2176,806.0,663.716,10167.688
2226,971.0,782.6,13273.599999999999
2240,327347.0,340384.907,3305806.1289999997
2241,3562.0,2519.218,42228.685999999994
2250,514.0,0.0,24134.0
2265,1192.0,0.0,15646.1
2266,1094.0,0.0,14931.3
2271,688.0,0.0,9486.9
2277,563013.0,606873.678,5786358.566
2290,2278.0,0.0,77927.5
2291,1947607.0,2105599.714,20227757.291
2292,78588.0,37761.871,896091.3119999999
2322,305307.0,164189.31399999998,2762815.958
2330,660444.0,431131.175,7254595.796
2336,4752087.0,2220932.507,37371457.612
2362,407.0,0.0,13780.0
2364,143744.0,144674.354,1432798.63
2367,26631.0,50943.944,516433.601
2369,472.0,0.0,14454.0
2379,8936.0,14599.0,235613.89999999997
2390,1176.0,1558.1,21190.800000000003
2393,20040.0,14768.307999999999,235758.728
2398,1137911.0,787560.252,13251579.657
2399,18314.0,8252.529,138673.78699999998
2401,1250.0,910.6469999999999,15184.006000000001
2404,129467.0,67885.522,1141909.924
2406,3409922.0,1465896.209,24664883.538
2410,13.0,31.0,383.1
2411,3787163.0,1485966.328,24978556.542
2434,73522.0,38415.63,646348.793
2440,0.0,0.0,0.0
2442,8243761.0,8226212.118,80177568.04
2444,928728.0,591310.323,9949978.056
2446,524387.0,323309.838,5440333.754
2450,123633.0,86479.228,1455196.284
2451,5352045.0,6249613.377,59622703.411
2454,1345768.0,850966.878,14318869.367
2480,12759.0,8486.795,143161.891
2490,937632.0,601846.01,10129449.587000001
2493,2593206.0,2173868.175,36564742.325
2494,20636.0,0.0,239494.3
2496,308.0,0.0,5170.0
2499,61302.0,0.0,805856.2999999999
2500,2186656.0,1089195.584,18367965.072
2503,84.0,0.0,2820454.35
2504,280.0,147554.775,2475553.925
2511,1469493.0,941535.2390000001,15812832.339
2512,12648.0,14660.502999999999,180730.972
2514,1765.0,1982.4,24477.7
2516,3136361.0,1892666.5690000001,31779700.968000002
2517,600008.0,369870.655,6140145.224
2521,1925.0,2203.0,27204.4
2527,392792.0,228303.061,3849053.684
2535,0.0,0.0,0.0
2539,3346011.0,2030841.502,34172719.047
2554,0.0,0.0,0.0
2594,51397.0,47784.098,606458.455
2625,694789.0,417872.923,7048664.591
2628,290.0,227.969,3835.247
2632,155.0,123.372,2075.4030000000002
2679,10824.0,6297.15,105952.34999999999
2682,69026.0,38231.6,643513.625
2706,3057631.0,1319492.146,22039315.643
2707,0.0,742.5,9175.0
2709,5968310.0,2538489.4560000002,42690544.99
2712,2310556.0,5681613.894,55418825.502000004
2713,4158880.0,1725646.213,29036887.88
2716,0.0,1819.2,22462.3
2718,638355.0,585379.488,5705477.373
2720,3978445.0,1607803.9270000001,27054524.116
2721,5789040.0,4597599.933,50317830.194
2723,4600143.0,1909590.869,32132747.475
2727,6545010.0,6104876.479,59710933.33499999
2790,459560.0,561996.822,5172104.727
2817,3386956.0,3784483.071,34761578.759
2823,5172462.0,5579430.04,51248532.513
2828,9760784.0,10088892.151,98432593.12900001
2831,2909.0,0.0,165844.8
2832,7310885.0,6988482.331,68113794.29
2836,273478.0,260085.369,2536566.807
2837,0.0,0.0,0.0
2840,1177468.0,1213470.392,11834871.111000001
2847,267502.0,194781.3,3301464.8
2848,25.0,0.0,558.0
2861,260.0,0.0,5438.8
2866,5476431.0,5650061.447,53871683.463
2869,73356.0,51151.294,888018.975
2876,5271043.0,5287990.864,51540009.535
2878,0.0,1607242.218,15241717.192
2880,261701.0,186960.261,3145988.715
2917,0.0,0.0,0.0
2951,1100144.0,708294.052,11918441.24
2952,2887174.0,2623045.207,31639775.147
2953,1161180.0,629325.727,10664970.871
2956,2667360.0,1677574.715,28228357.389
2963,3054286.0,2688246.005,34998029.009
2964,504821.0,356641.376,6010680.263
2965,286760.0,198503.179,3340183.4050000003
2966,0.0,0.0,0.0
3006,563726.0,175547.163,5410401.36
3008,41683.0,26698.286,449061.798
3096,96989.0,79904.876,1344596.326
3111,4047.0,0.0,69949.3
3113,1887.0,1447.923,17844.539
3116,2234.0,0.0,40483.6
3118,8186225.0,7850456.132999999,76568322.164
3122,3413527.0,3488198.994,33998054.615
3130,0.0,2710617.827,25765412.976
3131,1481276.0,900764.2109999999,15157043.114
3132,1880.0,0.0,29123.316
3136,7931612.0,7937574.553,77364299.749
3138,595298.0,376668.958,6338136.165
3140,2060637.0,1342783.238,19918795.884999998
3148,429311.0,286181.735,4799172.85
3149,206762.0,202540.695,1974068.6309999998
3161,13291.0,11166.198999999999,180277.223
3168,305.0,0.0,3912.9
3176,269228.0,123361.755,2075792.719
3236,1107067.0,804654.425,13565120.175
3250,5148.0,4473.433,62005.218
3264,6188730.0,2560892.822,43079081.452
3285,18096.0,16567.102,242570.411
3287,1105026.0,558190.689,9416088.506
3295,1363832.0,899655.8539999999,15099214.228
3297,914984.0,886406.4909999999,8639431.337000001
3298,2923951.0,2704237.285,26361645.203
3318,587.0,0.0,9153.2
3320,183.0,0.0,2612.1
3338,30024.0,19346.300000000003,326966.2
3344,0.0,0.0,0.0
3393,3815383.0,1464222.803,24638356.599
3396,739769.0,745998.767,7270929.042
3399,10186573.0,10382601.489,101328432.745
3403,2765308.0,2853724.553,27983225.26
3405,5176365.0,2131601.988,35867829.357
3406,1049384.0,498715.351,8623089.481
3407,1746724.0,1958476.24,18878690.876
3439,78048.0,41638.487,700677.91
3441,1252086.0,541505.7170000001,9111852.548
3443,966155.0,445582.317,7497727.98
3452,473910.0,311027.425,5233697.556
3453,421671.0,282593.319,4755090.759000001
3456,3118790.0,1757096.285,29565593.574
3457,2362997.0,1368501.96,23027716.052
3459,4956860.0,2994758.426,50392669.797
3460,2006819.0,1211289.521,20382213.632
3464,117398.0,0.0,1681079.6
3469,676002.0,307513.648,9721290.904
3470,11731786.0,11373985.015,116339094.918
3476,142341.0,101321.45300000001,1704954.682
3477,0.0,0.0,0.0
3478,751984.0,467167.276,7860591.172
3482,2817409.0,1709344.851,28763007.781999998
3484,1351105.0,847745.3369999999,14264860.447999999
3485,976440.0,620181.384,10435557.995
3490,224191.0,140814.709,2369463.469
3491,606086.0,427917.228,7200511.399999999
3492,11741.0,0.0,142177.6
3494,360918.0,268610.9,4550546.2
3504,226304.0,145992.46600000001,2456600.196
3507,47639.0,37882.898,637461.958
3548,718600.0,486626.463,8587296.678
3559,116528.0,87410.28,1470921.537
3576,20625.0,14853.475,249777.525
3601,680051.0,407490.218,6856742.529
3604,53979.0,27060.001,455395.248
3609,135777.0,75409.791,1268963.726
3611,979976.0,639604.099,10762585.211
3612,4133757.0,1909358.638,32127964.626
3628,200073.0,130374.992,2193265.5700000003
3631,89517.0,59365.893000000004,972792.196
3648,163696.0,115585.55900000001,1944972.9279999998
3734,0.0,344.4,4252.0
3754,0.0,740.2,9125.8
3775,288032.0,184039.75400000002,3096889.2909999997
3785,459.0,0.0,12339.6
3797,3645796.0,2020768.003,30464363.285
3804,3862181.0,1604137.311,26901544.118
3809,65754.0,62395.708999999995,770931.991
3845,5470187.0,6390281.626,60929479.257
3935,11396439.0,11181736.999,109028027.615
3943,5568901.0,5175523.081,50443729.948
3944,11779753.0,10737557.678,104654602.334
3948,3956208.0,4000630.396,39052565.323
3954,5067481.0,5140495.682,50102368.115
3982,178024.0,300886.493,2891669.764
3991,47.0,0.0,1174.5
3992,32919.0,26577.625,447227.249
4005,678.0,0.0,8858.400000000001
4014,37884.0,0.0,519281.0
4040,8508804.0,3422935.2369999997,57597461.083
4041,3381674.0,3553613.478,33900439.978
4042,0.0,485796.804,8195023.1620000005
4050,1189922.0,1297712.24,12373316.499
4057,91.0,0.0,3456.3999999999996
4059,17.0,0.0,782.1
4072,63923.0,44793.789000000004,753750.054
4076,116588.0,86512.441,1464473.521
4078,4569811.0,4025257.937,38439205.681
4125,0.0,205666.367,1973959.0890000002
4143,1006246.0,1105690.912,10542454.298
4158,4779630.0,5397569.887,51464143.522
4162,2905299.0,3056807.435,30338463.637000002
4195,8128.0,6443.4,108269.125
4266,2984.0,2919.1,49105.425
4271,1566399.0,1846887.813,17609570.054
4937,2336710.0,1416400.308,23833676.627
4939,1335596.0,612109.759,10299947.489
4940,360773.0,265563.063,4471766.243
5083,77632.0,37631.501000000004,621558.308
6002,17594945.0,18846905.225,179699736.425
6004,5439737.0,5246313.091,51133697.24
6009,4195667.0,4824080.41,46014977.17
6013,0.0,0.0,0.0
6017,2860079.0,3019906.626,28793934.068
6018,2492997.0,2730062.755,26608833.796
6019,6078823.0,5591345.667,54657422.842
6021,7639894.0,8434235.936,80418011.579
6030,8841523.0,9543316.525,87657916.149
6034,4950838.0,5018291.802,49747806.267
6035,1025811.0,642438.498,10833548.402
6041,8104889.0,7577184.401000001,73851755.807
6042,9844684.0,4450233.3780000005,74676196.824
6043,11444544.0,4670052.302,78574021.87
6046,151523.0,113573.26,1880178.913
6052,238194.0,248110.061,2421208.108
6055,1373749.0,1075686.1199999999,15225489.627
6058,10936.0,6756.715,177946.08599999998
6063,3468.0,0.0,53973.2
6064,1208375.0,1423278.426,13611277.482
6065,7571663.0,6890941.699,65703095.582
6068,7742614.0,8145164.31,77712558.28
