,Plant Name,Planned Retirement Year,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
244,G G Allen,2024,G G Allen,NC,35.1897,-81.0122,1957,Coal,1148,638355000.0,5705477.373,585379.488,Wind,-188.75086445668845,585379.488,0.000585379488,0.0,Coal→Wind,585379.488,405.7692307692308
292,Bull Run,2023,Bull Run,TN,36.0211,-84.1567,1967,Coal,950,739769000.0,7270929.042,745998.767,Wind,-76.88192766077665,745998.767,0.0013313782549999999,0.0005853794879999999,Coal→Wind,1331378.255,
199,North Omaha,2023,North Omaha,NE,41.32909,-95.94466,1954,Coal,642,1947607000.0,20227757.291,2105599.714,Gas,-68.57086450023415,1441009.6089518545,0.0027723878639518544,0.0013313782549999999,Coal→Gas,3436977.969,
578,Cheswick Power Plant,2022,Cheswick Power Plant,PA,40.5383,-79.7906,1970,Coal,637,645388000.0,6543784.6620000005,665475.228,Wind,-66.52178584065972,665475.228,0.0034378630919518543,0.0027723878639518544,Coal→Wind,4102453.197,
89,Kincaid Generation LLC,2027,Kincaid Generation LLC,IL,39.590556,-89.496389,1967,Coal,1318,1624422000.0,16187689.842,1697765.107,Wind,-58.96950778903677,1697765.107,0.005135628198951855,0.0034378630919518543,Coal→Wind,5800218.3040000005,
4,Dolet Hills,2022,Dolet Hills,LA,32.030556,-93.569167,1986,Coal,720,793116000.0,7632777.63,830981.316,Wind,-55.91718744190005,830981.316,0.005966609514951854,0.005135628198951855,Coal→Wind,6631199.62,3909.6153846153848
109,Lansing,2022,Lansing,IA,43.3359,-91.1675,1948,Coal,339,405557000.0,4329877.575,453574.457,Wind,-55.63969878217711,453574.457,0.006420183971951854,0.005966609514951854,Coal→Wind,7084774.0770000005,
297,Kingston,2027,Kingston,TN,35.8992,-84.5194,1954,Coal,1700,1746724000.0,18878690.876,1958476.24,Gas,-47.109756380638345,1362434.283563143,0.007782618255514998,0.006420183971951855,Coal→Gas,9043250.317,
171,Erickson Station,2025,Erickson Station,MI,42.692222,-84.657222,1973,Coal,154,616427000.0,7461886.34,782601.455,Gas,-43.97270271375168,572255.4844399674,0.008354873739954966,0.007782618255514998,Coal→Gas,9825851.772,1921.5384615384617
343,Edgewater,2022,Edgewater,WI,43.715142,-87.705863,1951,Coal,833,1189922000.0,12373316.499,1297712.24,Wind,-43.672157954290064,1297712.24,0.009652585979954966,0.008354873739954966,Coal→Wind,11123564.012,
331,Chesterfield,2023,Chesterfield,VA,37.3822,-77.3833,1952,Coal,1797,3645796000.0,30464363.285,2020768.003,Gas,-41.639678574444375,776697.7431251332,0.010429283723080099,0.009652585979954966,Coal→Gas,13144332.015,1496.923076923077
383,R M Schahfer,2021,R M Schahfer,IN,41.2164,-87.0261,1976,Coal,2200,3160356000.0,36912136.116,3810973.865,Gas,-41.31128048360124,2732552.3323039594,0.013161836055384058,0.010429283723080099,Coal→Gas,16955305.880000003,833.8461538461539
72,Deerhaven Generating Station,2022,Deerhaven Generating Station,FL,29.7592,-82.3878,1972,Coal,469,750718000.0,8258550.147,622402.804,Gas,-40.2612521062524,366232.1522814891,0.013528068207665547,0.013161836055384058,Coal→Gas,17577708.684000004,
334,Transalta Centralia Generation,2025,Transalta Centralia Generation,WA,46.755938,-122.859764,1972,Coal,1778,5470187000.0,60929479.257,6390281.626,Gas,-37.84882381466696,4523666.773535924,0.01805173498120147,0.013528068207665545,Coal→Gas,23967990.310000002,2652.3076923076924
96,Dallman,2023,Dallman,IL,39.754803,-89.602389,1968,Coal,617,916183000.0,9252006.177,946787.427,Wind,-37.094128918320486,946787.427,0.01899852240820147,0.01805173498120147,Coal→Wind,24914777.737000003,673.0769230769231
178,Hoot Lake,2021,Hoot Lake,MN,46.290641,-96.043252,1914,Coal,137,213468000.0,2501980.075,262407.725,Gas,-36.8072908049173,189565.14405609417,0.019188087552257566,0.01899852240820147,Coal→Gas,25177185.462000005,
416,Winyah,2028,Winyah,SC,33.33184,-79.357236,1975,Coal,1260,2631016000.0,26210305.23,2689178.031,Gas,-35.09665269657166,1791385.406603316,0.020979472958860882,0.019188087552257566,Coal→Gas,27866363.493000004,2764.6153846153843
384,Lewis & Clark,2021,Lewis & Clark,MT,47.6785,-104.15665,1958,Coal,68,256912000.0,3179862.54,345979.82,Gas,-34.67942344469673,258312.66072806824,0.021237785619588948,0.020979472958860882,Coal→Gas,28212343.313000005,3152.3076923076924
107,F B Culley,2023,F B Culley,IN,37.9111,-87.3275,1955,Coal,414,1020047000.0,12318607.888,1258642.022,Gas,-33.971587146266785,910567.1060215476,0.022148352725610495,0.021237785619588948,Coal→Gas,29470985.335000005,1406.1538461538462
249,R M Heskett,2022,R M Heskett,ND,46.8669,-100.8836,1954,Coal,203,459560000.0,5172104.727,561996.822,Gas,-32.66756193083412,405179.2357642113,0.022553531961374707,0.022148352725610495,Coal→Gas,30032982.157000005,
253,Miami Fort,2027,Miami Fort,OH,39.1128,-84.8036,1949,Coal,1441,7310885000.0,68113794.29,6988482.331,Gas,-32.18877437853199,4493758.379943697,0.027047290341318406,0.022553531961374707,Coal→Gas,37021464.488000005,
428,R D Green,2022,R D Green,KY,37.6461,-87.5,1979,Coal,586,1302573000.0,13717138.673,1407376.869,Gas,-31.704306068579946,962894.4211022062,0.028010184762420613,0.027047290341318406,Coal→Gas,38428841.35700001,
362,W H Zimmer,2027,W H Zimmer,OH,38.8675,-84.2289,1991,Coal,1425,6078823000.0,54657422.842,5591345.667,Gas,-29.720641941008683,3517043.3995820433,0.03152722816200266,0.028010184762420613,Coal→Gas,44020187.02400001,449.2307692307692
401,Rockport,2028,Rockport,IN,37.9256,-87.0372,1984,Coal,2600,4358302000.0,41905763.266,4383521.255,Gas,-29.33078235572715,2896319.5844311714,0.03442354774643382,0.03152722816200265,Coal→Gas,48403708.279000014,1430.7692307692307
396,Welsh,2028,Welsh,TX,33.05522,-94.839993,1977,Coal,1674,3587706000.0,38601790.456,4048551.427,Gas,-28.8867787175481,2824303.461459795,0.03724785120789362,0.03442354774643382,Coal→Gas,52452259.706000015,
45,Comanche (CO),2022,Comanche (CO),CO,38.2081,-104.5747,1973,Coal,1634,4648786000.0,47269634.09,4883250.386,Gas,-28.135378918346767,3296925.641795266,0.04054477684968888,0.03724785120789362,Coal→Gas,57335510.092000015,2636.9230769230767
189,Sioux,2028,Sioux,MO,38.915479,-90.290247,1967,Coal,1098,3014662000.0,30181257.813,3165411.165,Gas,-27.8839569743895,2136705.4069776405,0.04268148225666652,0.04054477684968888,Coal→Gas,60500921.257000014,452.3076923076923
577,North Valmy,2025,North Valmy,NV,40.881317,-117.151605,1981,Coal,566,1085346000.0,10399050.569,1090649.724,Gas,-27.231873126216385,720292.5563816945,0.043401774813048216,0.04268148225666652,Coal→Gas,61591570.98100001,
425,Intermountain Power Project,2027,Intermountain Power Project,UT,39.509731,-112.58018,1986,Coal,1640,7314550000.0,67177712.5,6892435.775,Gas,-27.19917533854339,4396461.200622359,0.04779823601367057,0.043401774813048216,Coal→Gas,68484006.75600001,
163,J H Campbell,2025,J H Campbell,MI,42.910296,-86.20074,1962,Coal,1577,7290821000.0,70803324.577,7425853.869,Gas,-26.908256896870284,4937976.440813909,0.052736212454484475,0.04779823601367057,Coal→Gas,75909860.62500001,
412,Merom,2023,Merom,IN,39.0694,-87.5108,1982,Coal,1080,2808884000.0,29308006.55,3007001.638,Gas,-26.06220912241383,2048514.3699689978,0.05478472682445347,0.052736212454484475,Coal→Gas,78916862.26300001,
47,Hayden,2028,Hayden,CO,40.4856,-107.185,1965,Coal,465,2286358000.0,24115724.321,2474266.67,Gas,-25.303884821406523,1694083.1404698286,0.0564788099649233,0.05478472682445347,Coal→Gas,81391128.93300001,
347,Genoa,2021,Genoa,WI,43.5589,-91.2325,1969,Coal,345,1006246000.0,10542454.298,1105690.912,Gas,-25.041147901852582,762325.3691341772,0.05724113533405748,0.0564788099649233,Coal→Gas,82496819.84500001,
394,A B Brown,2023,A B Brown,IN,37.9053,-87.715,1979,Coal,706,2369786000.0,25549087.069,2609644.344,Gas,-24.85991266495607,1800992.3281253264,0.05904212766218281,0.05724113533405748,Coal→Gas,85106464.18900001,667.6923076923077
220,San Juan,2022,San Juan,NM,36.8006,-108.4386,1973,Coal,1848,5352045000.0,59622703.411,6249613.377,Gas,-23.973699011678782,4423312.6146940505,0.06346544027687685,0.05904212766218281,Coal→Gas,91356077.56600001,
363,Craig (CO),2025,Craig (CO),CO,40.4627,-107.5912,1979,Coal,1426,7639894000.0,80418011.579,8434235.936,Gas,-23.770901150960327,5827242.863980493,0.06929268314085735,0.06346544027687685,Coal→Gas,99790313.50200002,1161.5384615384614
102,Michigan City,2028,Michigan City,IN,41.7208,-86.9086,1950,Coal,680,1658109000.0,16260738.308,1705426.85,Gas,-22.717668511139752,1139623.361672388,0.07043230650252974,0.06929268314085735,Coal→Gas,101495740.35200001,1198.4615384615383
360,Newton,2027,Newton,IL,38.9361,-88.2781,1977,Coal,1234,2860079000.0,28793934.068,3019906.626,Gas,-22.711856342844353,2043949.873402584,0.07247625637593232,0.07043230650252974,Coal→Gas,104515646.97800002,2156.9230769230767
308,W A Parish,2025,W A Parish,TX,29.4828,-95.6311,1958,Coal,4005,11731786000.0,116339094.918,11373985.015,Gas,-22.565475873706177,7370698.474059058,0.07984695484999138,0.07247625637593232,Coal→Gas,115889631.99300002,1766.1538461538462
403,Coleto Creek,2027,Coleto Creek,TX,28.7128,-97.214167,1980,Coal,622,2705523000.0,28661161.895,3005980.887,Gas,-20.223083661922963,2082763.926504287,0.08192971877649567,0.07984695484999138,Coal→Gas,118895612.88000001,
560,Columbia (WI),2023,Columbia (WI),WI,43.4864,-89.4203,1975,Coal,1112,5644215000.0,59242619.219,6212741.745,Gas,-20.20282364963538,4286742.58820691,0.08621646136470258,0.08192971877649567,Coal→Gas,125108354.62500001,1084.6153846153845
94,Baldwin Energy Complex,2025,Baldwin Energy Complex,IL,38.205,-89.8544,1970,Coal,1893,4473276000.0,42583477.514,4466151.61,Gas,-19.28348664905043,2939716.879199921,0.0891561782439025,0.08621646136470258,Coal→Gas,129574506.23500001,
358,Pleasants Power Station,2022,Pleasants Power Station,WV,39.366667,-81.294444,1979,Coal,1368,5439737000.0,51133697.24,5246313.091,Gas,-19.263487974594607,3390088.8197459504,0.09254626706364846,0.0891561782439025,Coal→Gas,134820819.326,792.3076923076924
246,James E. Rogers Energy Complex,2026,James E. Rogers Energy Complex,NC,35.22,-81.7594,1940,Coal,2540,5789040000.0,50317830.194,4597599.933,Gas,-18.813374176678415,2622181.5340478923,0.09516844859769635,0.09254626706364846,Coal→Gas,139418419.259,
293,Cumberland (TN),2028,Cumberland (TN),TN,36.3903,-87.6539,1973,Coal,2600,10186573000.0,101328432.745,10382601.489,Gas,-18.27773445783798,6906594.460810738,0.10207504305850708,0.09516844859769635,Coal→Gas,149801020.748,249.23076923076923
385,Sherburne County,2025,Sherburne County,MN,45.3808,-93.8931,1976,Coal,2468,9614564000.0,96765805.27,10148791.521,Gas,-17.636604712897128,6867973.5229377,0.10894301658144478,0.10207504305850708,Coal→Gas,159949812.269,3530.769230769231
93,Joppa Steam,2022,Joppa Steam,IL,37.2094,-88.858889,1953,Coal,1098,4492161000.0,44699839.569,4446866.1,Gas,-15.974178951443756,2913987.1614445397,0.11185700374288933,0.10894301658144478,Coal→Gas,164396678.369,2167.6923076923076
525,Pirkey,2023,Pirkey,TX,32.4607,-94.4852,1985,Coal,721,2379413000.0,22761955.815,2478093.857,Gas,-15.66867217279586,1666156.7795388263,0.11352316052242815,0.11185700374288933,Coal→Gas,166874772.22599998,1467.6923076923078
364,Coal Creek,2022,Coal Creek,ND,47.377743,-101.157058,1979,Coal,1216,8841523000.0,87657916.149,9543316.525,Gas,-15.608427303198818,6526286.549570872,0.12004944707199902,0.11352316052242815,Coal→Gas,176418088.751,1184.6153846153848
86,E D Edwards,2022,E D Edwards,IL,40.5958,-89.6631,1960,Coal,779,3338667000.0,32727715.523,3432477.373,Gas,-13.331125090453996,2293210.0299216593,0.12234265710192069,0.12004944707199902,Coal→Gas,179850566.12399998,3193.846153846154
